channel_index,config_id,threshold_db,crossing_type,delta_min,delta_max
295,0,20.967296,single_cross,-4.2002029,8.2979547
296,0,20.010234,single_cross,-3.8069689,8.5976128
297,0,19.855465,single_cross,-4.9106889,8.2570463
298,0,18.361436,single_cross,-3.2907391,7.2371147
299,0,19.360365,single_cross,-5.1056339,9.0784615
300,0,20.697461,single_cross,-5.3746726,8.3128329
301,0,19.138692,single_cross,-2.1869605,5.336254
302,0,18.870919,single_cross,-6.0053293,9.905984
303,0,17.557493,single_cross,-3.964428,8.5341485
304,0,17.189083,single_cross,-2.4186707,6.2060226
305,0,16.081348,single_cross,-1.783156,5.1406722
306,0,22.239709,single_cross,-8.7173674,10.449689
307,0,16.829603,single_cross,-3.4611505,8.260274
308,0,18.526627,single_cross,-2.2342721,6.2654605
309,0,19.38538,single_cross,-3.5965386,6.4186461
310,0,18.679308,single_cross,-2.507555,6.7222964
311,0,20.8458,single_cross,-2.6862206,6.2614238
312,0,20.625101,single_cross,-3.9772275,8.6973822
313,0,19.671388,single_cross,-4.1560128,7.6602743
314,0,18.680704,single_cross,-4.0496818,8.823779
315,0,21.162889,single_cross,-5.3253521,9.1157401
316,0,19.289047,single_cross,-3.102388,7.8453903
317,0,17.824796,single_cross,-5.3798638,10.495796
318,0,18.863361,single_cross,-3.4648277,6.9457527
319,0,20.642409,single_cross,-5.1586873,7.8457179
320,0,17.20868,single_cross,-2.8926223,8.1131333
321,0,19.821117,single_cross,-2.6527522,7.3005923
322,0,18.860279,single_cross,-3.3313359,7.4098623
323,0,18.286878,single_cross,-3.1684337,7.6749245
324,0,18.459632,single_cross,-3.8889489,8.3033928
325,0,18.97507,single_cross,-3.1979529,6.2285252
326,0,20.605437,single_cross,-4.9371639,8.0807123
327,0,19.106117,single_cross,-4.6095213,9.0205033
328,0,24.502511,single_cross,-7.9083052,10.083788
329,0,21.816153,single_cross,-3.8935561,6.6683346
330,0,18.495825,single_cross,-3.6992911,9.3322656
331,0,18.984133,single_cross,-5.9631312,9.3763071
332,0,16.389047,single_cross,-2.5701786,5.6143586
333,0,21.451238,single_cross,-6.3235665,9.6304849
334,0,19.125672,single_cross,-4.3770281,8.1911628
335,0,17.114762,single_cross,-5.209751,10.707869
336,0,19.941442,single_cross,-3.1442582,8.8438278
337,0,17.109374,single_cross,-2.8347101,6.8253369
338,0,20.028121,single_cross,-5.3593262,9.7283011
339,0,23.962785,single_cross,-12.139967,10.879998
340,0,20.679142,single_cross,-4.5606438,7.9894965
341,0,19.08409,single_cross,-2.1994971,6.1131691
342,0,18.037883,single_cross,-4.3123365,7.9612505
343,0,19.11273,single_cross,-2.6810836,6.2482718
344,0,17.469659,single_cross,-3.9452065,8.4299902
345,0,18.000721,single_cross,-2.694958,7.0672168
346,0,20.508769,single_cross,-3.3748778,7.6119271
347,0,19.343461,single_cross,-6.3609456,11.026853
348,0,20.606767,single_cross,-3.321986,8.5733075
349,0,24.264972,single_cross,-4.9705558,9.9156003
350,0,19.436464,single_cross,-3.6418514,8.3854356
351,0,19.390153,single_cross,-5.1801846,9.3500105
352,0,21.571653,single_cross,-6.1582206,9.4678675
