row_index,bits_1,bits_2,bits_3,bits_4,bits_5,bits_6,bits_7,bits_8,mapped_index,real_part,imag_part
167,1,0,1,0,0,1,1,1,0,0.690268489962633,0.383482494423685
168,1,0,1,0,1,0,0,0,0,0.690268489962633,-1.15044748327106
169,1,0,1,0,1,0,0,1,0,0.690268489962633,-0.997054485501582
170,1,0,1,0,1,0,1,0,0,0.690268489962633,-0.690268489962633
171,1,0,1,0,1,0,1,1,0,0.690268489962633,-0.843661487732108
172,1,0,1,0,1,1,0,0,0,0.690268489962633,-0.076696498884737
173,1,0,1,0,1,1,0,1,0,0.690268489962633,-0.230089496654211
174,1,0,1,0,1,1,1,0,0,0.690268489962633,-0.536875492193159
175,1,0,1,0,1,1,1,1,0,0.690268489962633,-0.383482494423685
176,1,0,1,1,0,0,0,0,0,0.843661487732108,1.15044748327106
177,1,0,1,1,0,0,0,1,0,0.843661487732108,0.997054485501582
178,1,0,1,1,0,0,1,0,0,0.843661487732108,0.690268489962633
179,1,0,1,1,0,0,1,1,0,0.843661487732108,0.843661487732108
180,1,0,1,1,0,1,0,0,0,0.843661487732108,0.076696498884737
181,1,0,1,1,0,1,0,1,0,0.843661487732108,0.230089496654211
182,1,0,1,1,0,1,1,0,0,0.843661487732108,0.536875492193159
183,1,0,1,1,0,1,1,1,0,0.843661487732108,0.383482494423685
184,1,0,1,1,1,0,0,0,0,0.843661487732108,-1.15044748327106
185,1,0,1,1,1,0,0,1,0,0.843661487732108,-0.997054485501582
186,1,0,1,1,1,0,1,0,0,0.843661487732108,-0.690268489962633
187,1,0,1,1,1,0,1,1,0,0.843661487732108,-0.843661487732108
188,1,0,1,1,1,1,0,0,0,0.843661487732108,-0.076696498884737
189,1,0,1,1,1,1,0,1,0,0.843661487732108,-0.230089496654211
190,1,0,1,1,1,1,1,0,0,0.843661487732108,-0.536875492193159
191,1,0,1,1,1,1,1,1,0,0.843661487732108,-0.383482494423685
192,1,1,0,0,0,0,0,0,0,0.076696498884737,1.15044748327106
193,1,1,0,0,0,0,0,1,0,0.076696498884737,0.997054485501582
194,1,1,0,0,0,0,1,0,0,0.076696498884737,0.690268489962633
195,1,1,0,0,0,0,1,1,0,0.076696498884737,0.843661487732108
196,1,1,0,0,0,1,0,0,0,0.076696498884737,0.076696498884737
197,1,1,0,0,0,1,0,1,0,0.076696498884737,0.230089496654211
198,1,1,0,0,0,1,1,0,0,0.076696498884737,0.536875492193159
199,1,1,0,0,0,1,1,1,0,0.076696498884737,0.383482494423685
200,1,1,0,0,1,0,0,0,0,0.076696498884737,-1.15044748327106
201,1,1,0,0,1,0,0,1,0,0.076696498884737,-0.997054485501582
202,1,1,0,0,1,0,1,0,0,0.076696498884737,-0.690268489962633
203,1,1,0,0,1,0,1,1,0,0.076696498884737,-0.843661487732108
204,1,1,0,0,1,1,0,0,0,0.076696498884737,-0.076696498884737
205,1,1,0,0,1,1,0,1,0,0.076696498884737,-0.230089496654211
206,1,1,0,0,1,1,1,0,0,0.076696498884737,-0.536875492193159
207,1,1,0,0,1,1,1,1,0,0.076696498884737,-0.383482494423685
208,1,1,0,1,0,0,0,0,0,0.230089496654211,1.15044748327106
209,1,1,0,1,0,0,0,1,0,0.230089496654211,0.997054485501582
210,1,1,0,1,0,0,1,0,0,0.230089496654211,0.690268489962633
211,1,1,0,1,0,0,1,1,0,0.230089496654211,0.843661487732108
212,1,1,0,1,0,1,0,0,0,0.230089496654211,0.076696498884737
213,1,1,0,1,0,1,0,1,0,0.230089496654211,0.230089496654211
214,1,1,0,1,0,1,1,0,0,0.230089496654211,0.536875492193159
215,1,1,0,1,0,1,1,1,0,0.230089496654211,0.383482494423685
216,1,1,0,1,1,0,0,0,0,0.230089496654211,-1.15044748327106
217,1,1,0,1,1,0,0,1,0,0.230089496654211,-0.997054485501582
218,1,1,0,1,1,0,1,0,0,0.230089496654211,-0.690268489962633
219,1,1,0,1,1,0,1,1,0,0.230089496654211,-0.843661487732108
220,1,1,0,1,1,1,0,0,0,0.230089496654211,-0.076696498884737
221,1,1,0,1,1,1,0,1,0,0.230089496654211,-0.230089496654211
222,1,1,0,1,1,1,1,0,0,0.230089496654211,-0.536875492193159
223,1,1,0,1,1,1,1,1,0,0.230089496654211,-0.383482494423685
224,1,1,1,0,0,0,0,0,0,0.536875492193159,1.15044748327106
225,1,1,1,0,0,0,0,1,0,0.536875492193159,0.997054485501582
226,1,1,1,0,0,0,1,0,0,0.536875492193159,0.690268489962633
227,1,1,1,0,0,0,1,1,0,0.536875492193159,0.843661487732108
228,1,1,1,0,0,1,0,0,0,0.536875492193159,0.076696498884737
229,1,1,1,0,0,1,0,1,0,0.536875492193159,0.230089496654211
230,1,1,1,0,0,1,1,0,0,0.536875492193159,0.536875492193159
231,1,1,1,0,0,1,1,1,0,0.536875492193159,0.383482494423685
232,1,1,1,0,1,0,0,0,0,0.536875492193159,-1.15044748327106
233,1,1,1,0,1,0,0,1,0,0.536875492193159,-0.997054485501582
234,1,1,1,0,1,0,1,0,0,0.536875492193159,-0.690268489962633
235,1,1,1,0,1,0,1,1,0,0.536875492193159,-0.843661487732108
236,1,1,1,0,1,1,0,0,0,0.536875492193159,-0.076696498884737
237,1,1,1,0,1,1,0,1,0,0.536875492193159,-0.230089496654211
238,1,1,1,0,1,1,1,0,0,0.536875492193159,-0.536875492193159
239,1,1,1,0,1,1,1,1,0,0.536875492193159,-0.383482494423685
240,1,1,1,1,0,0,0,0,0,0.383482494423685,1.15044748327106
241,1,1,1,1,0,0,0,1,0,0.383482494423685,0.997054485501582
242,1,1,1,1,0,0,1,0,0,0.383482494423685,0.690268489962633
243,1,1,1,1,0,0,1,1,0,0.383482494423685,0.843661487732108
244,1,1,1,1,0,1,0,0,0,0.383482494423685,0.076696498884737
245,1,1,1,1,0,1,0,1,0,0.383482494423685,0.230089496654211
246,1,1,1,1,0,1,1,0,0,0.383482494423685,0.536875492193159
247,1,1,1,1,0,1,1,1,0,0.383482494423685,0.383482494423685
248,1,1,1,1,1,0,0,0,0,0.383482494423685,-1.15044748327106
249,1,1,1,1,1,0,0,1,0,0.383482494423685,-0.997054485501582
250,1,1,1,1,1,0,1,0,0,0.383482494423685,-0.690268489962633
251,1,1,1,1,1,0,1,1,0,0.383482494423685,-0.843661487732108
252,1,1,1,1,1,1,0,0,0,0.383482494423685,-0.076696498884737
253,1,1,1,1,1,1,0,1,0,0.383482494423685,-0.230089496654211
254,1,1,1,1,1,1,1,0,0,0.383482494423685,-0.536875492193159
255,1,1,1,1,1,1,1,1,0,0.383482494423685,-0.383482494423685
