channel_index,config_id,snr_db,svd_rate,ucd_rate,delta_rate
18,0,11,nan,nan,nan
18,0,12,nan,nan,nan
18,0,13,nan,nan,nan
18,0,14,nan,nan,nan
18,0,15,20.916582,17.491892,-3.4246901
18,0,16,22.91048,20.30555,-2.6049298
18,0,17,24.834353,23.661322,-1.173031
18,0,18,26.690586,26.615833,-0.074753269
18,0,19,28.525683,29.953847,1.4281641
18,0,20,30.374066,33.455458,3.081392
18,0,21,32.245278,36.895676,4.6503986
18,0,22,nan,nan,nan
18,0,23,nan,nan,nan
18,0,24,nan,nan,nan
18,0,25,39.24134,46.732699,7.4913593
18,0,26,nan,nan,nan
18,0,27,nan,nan,nan
18,0,28,nan,nan,nan
18,0,29,nan,nan,nan
18,0,30,45.049147,47.999997,2.9508503
19,0,0,0.50056645,0.030276855,-0.47028959
19,0,1,nan,nan,nan
19,0,2,nan,nan,nan
19,0,3,nan,nan,nan
19,0,4,nan,nan,nan
19,0,5,3.093712,0.90827698,-2.185435
19,0,6,nan,nan,nan
19,0,7,nan,nan,nan
19,0,8,nan,nan,nan
19,0,9,nan,nan,nan
19,0,10,9.3248171,5.7169165,-3.6079007
19,0,11,nan,nan,nan
19,0,12,nan,nan,nan
19,0,13,nan,nan,nan
19,0,14,nan,nan,nan
19,0,15,19.061763,15.060632,-4.0011313
19,0,16,21.196447,17.865,-3.331448
19,0,17,23.425465,20.778989,-2.6464766
19,0,18,25.704765,23.885347,-1.8194184
19,0,19,27.873513,27.13674,-0.73677296
19,0,20,29.814066,29.842561,0.028494221
19,0,21,31.519431,33.407206,1.8877744
19,0,22,nan,nan,nan
19,0,23,nan,nan,nan
19,0,24,nan,nan,nan
19,0,25,37.594107,44.636892,7.0427845
19,0,26,nan,nan,nan
19,0,27,nan,nan,nan
19,0,28,nan,nan,nan
19,0,29,nan,nan,nan
19,0,30,43.588256,47.999657,4.4114013
20,0,0,0.75418341,0.10238335,-0.65180006
20,0,1,nan,nan,nan
20,0,2,nan,nan,nan
20,0,3,nan,nan,nan
20,0,4,nan,nan,nan
20,0,5,2.900428,0.73927071,-2.1611573
20,0,6,nan,nan,nan
20,0,7,nan,nan,nan
20,0,8,nan,nan,nan
20,0,9,nan,nan,nan
20,0,10,8.2128406,3.4770381,-4.7358025
20,0,11,nan,nan,nan
20,0,12,nan,nan,nan
20,0,13,nan,nan,nan
20,0,14,nan,nan,nan
20,0,15,18.399745,12.866228,-5.5335174
20,0,16,nan,nan,nan
20,0,17,nan,nan,nan
20,0,18,nan,nan,nan
20,0,19,25.980708,23.71071,-2.2699972
20,0,20,27.966596,26.688483,-1.278113
20,0,21,29.928184,30.397812,0.46962746
20,0,22,31.700191,34.112722,2.4125303
20,0,23,33.34233,37.436225,4.0938955
20,0,24,34.807591,40.180211,5.3726201
20,0,25,36.101004,43.119118,7.0181138
20,0,26,nan,nan,nan
20,0,27,nan,nan,nan
20,0,28,nan,nan,nan
20,0,29,nan,nan,nan
20,0,30,39.57896,47.979632,8.4006721
21,0,0,0.53970312,0,-0.53970312
21,0,1,nan,nan,nan
21,0,2,nan,nan,nan
21,0,3,nan,nan,nan
21,0,4,nan,nan,nan
21,0,5,3.2070752,0.90567369,-2.3014015
21,0,6,nan,nan,nan
21,0,7,nan,nan,nan
21,0,8,nan,nan,nan
21,0,9,nan,nan,nan
21,0,10,8.9913285,5.9191022,-3.0722262
21,0,11,nan,nan,nan
21,0,12,nan,nan,nan
21,0,13,nan,nan,nan
21,0,14,nan,nan,nan
21,0,15,18.05731,15.13956,-2.9177493
21,0,16,nan,nan,nan
21,0,17,nan,nan,nan
21,0,18,nan,nan,nan
21,0,19,25.702329,23.72826,-1.974069
21,0,20,27.718516,26.683225,-1.035291
21,0,21,29.672581,29.798586,0.12600544
21,0,22,31.54175,33.014033,1.4722831
21,0,23,33.251391,36.451898,3.200507
21,0,24,34.712824,39.793464,5.0806398
21,0,25,35.979014,42.815151,6.8361373
21,0,26,nan,nan,nan
21,0,27,nan,nan,nan
21,0,28,nan,nan,nan
21,0,29,nan,nan,nan
21,0,30,40.750749,47.992843,7.242094
22,0,0,0.74281881,0.076661277,-0.66615753
22,0,1,nan,nan,nan
22,0,2,nan,nan,nan
22,0,3,nan,nan,nan
22,0,4,nan,nan,nan
22,0,5,3.2604926,0.59656199,-2.6639306
22,0,6,nan,nan,nan
22,0,7,nan,nan,nan
22,0,8,nan,nan,nan
22,0,9,nan,nan,nan
22,0,10,8.2485284,3.6226433,-4.6258851
22,0,11,nan,nan,nan
22,0,12,nan,nan,nan
22,0,13,nan,nan,nan
22,0,14,nan,nan,nan
22,0,15,16.075008,11.173986,-4.9010224
22,0,16,nan,nan,nan
22,0,17,nan,nan,nan
22,0,18,nan,nan,nan
22,0,19,22.772796,21.273111,-1.4996849
22,0,20,24.477999,24.300209,-0.17779037
22,0,21,26.143742,27.678745,1.5350029
22,0,22,27.743017,30.854451,3.1114339
22,0,23,29.294263,34.25452,4.9602569
22,0,24,30.880152,37.672786,6.7926338
22,0,25,32.552721,40.819782,8.2670617
22,0,26,nan,nan,nan
22,0,27,nan,nan,nan
22,0,28,nan,nan,nan
22,0,29,nan,nan,nan
22,0,30,40.533375,47.685708,7.152333
23,0,0,0.14962185,0.0072237778,-0.14239807
23,0,1,nan,nan,nan
23,0,2,nan,nan,nan
23,0,3,nan,nan,nan
23,0,4,nan,nan,nan
23,0,5,1.8575117,0.36434363,-1.493168
23,0,6,nan,nan,nan
23,0,7,nan,nan,nan
23,0,8,nan,nan,nan
23,0,9,nan,nan,nan
23,0,10,6.4729429,3.8365703,-2.6363727
23,0,11,nan,nan,nan
23,0,12,nan,nan,nan
23,0,13,nan,nan,nan
23,0,14,nan,nan,nan
23,0,15,15.978457,12.664829,-3.3136282
23,0,16,nan,nan,nan
23,0,17,nan,nan,nan
23,0,18,nan,nan,nan
23,0,19,25.628508,23.007711,-2.6207966
23,0,20,27.852072,26.302015,-1.5500576
23,0,21,29.986209,29.807482,-0.17872656
23,0,22,32.065765,33.751566,1.685801
23,0,23,34.063381,37.757922,3.6945408
23,0,24,35.941544,41.625926,5.6843815
23,0,25,37.644225,44.441291,6.7970668
23,0,26,nan,nan,nan
23,0,27,nan,nan,nan
23,0,28,nan,nan,nan
23,0,29,nan,nan,nan
23,0,30,43.140006,47.999479,4.8594732
24,0,0,0.40876745,0,-0.40876745
24,0,1,nan,nan,nan
24,0,2,nan,nan,nan
24,0,3,nan,nan,nan
24,0,4,nan,nan,nan
24,0,5,2.7735921,1.2578194,-1.5157728
24,0,6,nan,nan,nan
24,0,7,nan,nan,nan
24,0,8,nan,nan,nan
24,0,9,nan,nan,nan
