channel_index,config_id,threshold_db,crossing_type,delta_min,delta_max
836,0,21.26238,single_cross,-7.4096377,9.9464358
837,0,23.261651,single_cross,-9.853561,11.533993
838,0,22.969215,single_cross,-6.3312928,9.1674621
839,0,21.22537,single_cross,-7.9661951,9.7677553
840,0,18.593115,single_cross,-1.8708715,5.6089456
841,0,21.369883,single_cross,-3.966265,7.415078
842,0,16.230195,single_cross,-2.2138446,5.1895279
843,0,22.060605,single_cross,-6.3695305,10.517433
844,0,19.550529,single_cross,-2.5303027,6.8465142
845,0,17.409554,single_cross,-3.0772529,8.0592134
846,0,18.846175,single_cross,-4.2264799,10.519352
847,0,17.662231,single_cross,-2.6344722,5.8044485
848,0,18.831522,single_cross,-2.1338673,5.1583596
849,0,17.573102,single_cross,-3.6024634,6.8741607
850,0,20.275466,single_cross,-2.8235361,6.3912713
851,0,20.429349,single_cross,-3.6195902,8.3479985
852,0,18.598169,single_cross,-3.4399666,6.6148189
853,0,18.560674,single_cross,-1.9716997,5.3623897
854,0,19.814762,single_cross,-3.2591147,5.8528147
855,0,18.5047,single_cross,-3.0135347,6.7167526
856,0,17.694448,single_cross,-1.7989085,3.7499783
857,0,17.382456,single_cross,-4.049396,9.2996238
858,0,19.745448,single_cross,-2.8447974,6.9568089
859,0,21.45557,single_cross,-2.7739936,7.4301447
860,0,20.217313,single_cross,-3.6789967,7.6641982
861,0,18.223778,single_cross,-3.0059773,7.2515918
862,0,17.286303,single_cross,-3.2364246,7.0436848
863,0,20.329363,single_cross,-2.0874193,6.1133591
864,0,17.803193,single_cross,-3.7248755,8.1701836
865,0,22.205929,single_cross,-5.1887744,10.321173
866,0,26.5682,single_cross,-9.3122503,9.879572
867,0,19.206004,single_cross,-4.0933894,9.9222654
868,0,19.37065,single_cross,-4.4379412,9.6321048
869,0,19.455553,single_cross,-3.6904377,8.1321184
870,0,19.625539,single_cross,-3.7574093,6.9297891
871,0,22.491043,single_cross,-5.2490891,10.150807
872,0,18.207816,single_cross,-3.4466571,8.0565137
873,0,20.840515,single_cross,-2.944339,6.2685795
874,0,17.859707,single_cross,-2.5897674,5.7871924
875,0,18.745658,single_cross,-2.8962127,6.7576167
876,0,22.569604,single_cross,-8.5984379,9.927198
877,0,19.833982,single_cross,-4.4270254,9.6531244
878,0,18.085695,single_cross,-5.5477661,10.588176
879,0,18.196227,single_cross,-3.1404215,7.6763548
880,0,20.125133,single_cross,-2.4697652,6.1669104
881,0,17.591865,single_cross,-3.0704073,7.4842929
882,0,18.102411,single_cross,-2.7107937,5.7646242
883,0,20.429229,single_cross,-5.7338856,8.5915577
884,0,19.71793,single_cross,-2.7790974,7.318398
