channel_index,config_id,snr_db,svd_rate,ucd_rate,delta_rate
12,0,10,9.5506333,7.7625414,-1.7880919
12,0,11,11.307824,9.2996961,-2.0081277
12,0,12,13.282711,11.221162,-2.061549
12,0,13,15.450559,13.029417,-2.4211421
12,0,14,17.769959,15.085012,-2.6849475
12,0,15,20.173674,17.3856,-2.7880746
12,0,16,22.574174,19.944492,-2.6296825
12,0,17,24.898414,22.711037,-2.187377
12,0,18,27.115106,25.838995,-1.2761108
12,0,19,29.19594,29.082617,-0.11332277
12,0,20,31.14905,32.52869,1.3796399
12,0,21,33.028803,35.987754,2.9589508
12,0,22,34.89051,39.223123,4.3326124
12,0,23,36.7,42.033145,5.3331454
12,0,24,38.398528,44.311891,5.9133624
12,0,25,39.905348,45.976033,6.0706852
12,0,26,41.195167,47.034319,5.839152
12,0,27,42.305713,47.608697,5.3029835
12,0,28,43.284974,47.869109,4.5841355
12,0,29,44.20107,47.977138,3.776068
12,0,30,45.077266,47.999085,2.9218191
13,0,0,0.69350935,0.046909315,-0.64660003
13,0,1,0.9444149,0.022414276,-0.92200062
13,0,2,1.2665888,0.015329545,-1.2512592
13,0,3,1.6546491,0.038639883,-1.6160092
13,0,4,2.0911806,0,-2.0911806
13,0,5,2.6012,0,-2.6012
13,0,6,3.1718704,0,-3.1718704
13,0,7,3.8454304,0.094196249,-3.7512342
13,0,8,4.6014203,0.65270127,-3.948719
13,0,9,5.4844936,1.122013,-4.3624806
13,0,10,6.4846244,1.5175619,-4.9670625
13,0,11,7.5602873,2.1807452,-5.3795421
13,0,12,8.7104349,2.6867668,-6.0236681
13,0,13,9.8892076,3.4559117,-6.4332958
13,0,14,11.072387,4.4353859,-6.6370006
13,0,15,12.302458,5.765435,-6.5370228
13,0,16,13.544372,7.2415232,-6.302849
13,0,17,14.791814,8.919573,-5.8722414
13,0,18,16.044135,10.596649,-5.4474864
13,0,19,17.333106,11.774704,-5.5584019
13,0,20,18.680435,13.955891,-4.7245442
13,0,21,20.075243,16.10182,-3.9734234
13,0,22,21.544453,18.201378,-3.3430746
13,0,23,23.120707,21.312311,-1.808396
13,0,24,24.747269,24.223627,-0.52364285
13,0,25,26.333886,27.58323,1.2493437
13,0,26,27.79171,31.224838,3.4331272
13,0,27,29.104214,35.175945,6.0717318
13,0,28,30.322672,38.841626,8.5189532
13,0,29,31.510541,41.904959,10.394417
13,0,30,32.755983,44.284208,11.528225
14,0,0,1.8998878,0.15997828,-1.7399095
14,0,1,2.5071829,0.41427357,-2.0929094
14,0,2,3.1690313,0.75904345,-2.4099879
14,0,3,3.8922665,1.1169792,-2.7752874
14,0,4,4.680403,1.4904387,-3.1899643
14,0,5,5.5489044,2.2694925,-3.2794119
14,0,6,6.507209,3.0809315,-3.4262775
14,0,7,7.5787996,3.5032199,-4.0755797
14,0,8,8.8043514,3.9959355,-4.8084159
14,0,9,10.184636,4.9760122,-5.2086243
14,0,10,11.7476,6.7077953,-5.0398046
14,0,11,13.481614,8.1793526,-5.3022613
14,0,12,15.425772,9.8620379,-5.5637341
14,0,13,17.491251,11.795065,-5.6961859
14,0,14,19.588662,13.289152,-6.2995099
14,0,15,21.620837,15.283517,-6.3373198
14,0,16,23.48984,16.94501,-6.5448302
14,0,17,25.143545,19.106711,-6.036834
14,0,18,26.499066,21.394923,-5.1041428
14,0,19,27.591065,24.210039,-3.3810264
14,0,20,28.501361,27.338207,-1.1631546
14,0,21,29.350537,30.819715,1.4691787
14,0,22,30.231287,34.580347,4.3490607
14,0,23,31.188452,38.278578,7.0901259
14,0,24,32.223012,41.338024,9.1150116
14,0,25,33.299992,43.645407,10.345415
14,0,26,34.37701,45.349378,10.972368
14,0,27,35.408394,46.7669,11.358506
14,0,28,36.330879,47.510884,11.180005
14,0,29,37.112431,47.821888,10.709457
14,0,30,37.771645,47.956214,10.184569
15,0,0,2.070252,0.45656159,-1.6136904
15,0,1,2.5967019,0.69207244,-1.9046294
15,0,2,3.187181,0.98885454,-2.1983264
15,0,3,3.8676881,1.4973496,-2.3703385
15,0,4,4.6816334,2.1703831,-2.5112503
15,0,5,5.6669213,2.7730752,-2.8938461
15,0,6,6.8318199,3.8135104,-3.0183095
15,0,7,8.1704418,4.9556067,-3.2148351
15,0,8,9.6617009,6.0402309,-3.6214699
15,0,9,11.282695,7.5984408,-3.6842544
15,0,10,12.994484,9.2884812,-3.706003
15,0,11,14.756627,10.83807,-3.9185569
15,0,12,16.525649,12.788856,-3.7367931
15,0,13,18.274729,14.75396,-3.5207696
15,0,14,19.985833,16.752018,-3.2338152
15,0,15,21.653002,19.114971,-2.5380307
15,0,16,23.295535,21.568205,-1.7273303
15,0,17,24.938905,24.325349,-0.61355592
